date,mise_stars,asdf_stars,hk_stars,just_stars
2015-05-24,0,13,0,0
2015-05-25,0,16,0,0
2015-05-26,0,17,0,0
2015-05-27,0,18,0,0
2015-05-28,0,20,0,0
2015-05-29,0,20,0,0
2015-06-01,0,20,0,0
2015-06-02,0,21,0,0
2015-06-05,0,21,0,0
2015-06-06,0,21,0,0
2015-06-07,0,21,0,0
2015-06-09,0,21,0,0
2015-06-10,0,21,0,0
2015-06-12,0,21,0,0
2015-06-13,0,21,0,0
2015-06-14,0,23,0,0
2015-06-17,0,23,0,0
2015-06-18,0,23,0,0
2015-06-19,0,23,0,0
2015-06-20,0,23,0,0
2015-06-24,0,23,0,0
2015-06-27,0,23,0,0
2015-06-29,0,23,0,0
2015-06-30,0,24,0,0
2015-07-02,0,24,0,0
2015-07-03,0,24,0,0
2015-07-05,0,24,0,0
2015-07-09,0,24,0,0
2015-07-10,0,24,0,0
2015-07-14,0,24,0,0
2015-07-15,0,25,0,0
2015-07-16,0,25,0,0
2015-07-20,0,25,0,0
2015-07-21,0,29,0,0
2015-07-24,0,29,0,0
2015-07-25,0,30,0,0
2015-07-27,0,39,0,0
2015-07-28,0,43,0,0
2015-07-29,0,46,0,0
2015-07-30,0,46,0,0
2015-07-31,0,47,0,0
2015-08-01,0,47,0,0
2015-08-02,0,47,0,0
2015-08-03,0,48,0,0
2015-08-04,0,48,0,0
2015-08-05,0,48,0,0
2015-08-07,0,48,0,0
2015-08-10,0,48,0,0
2015-08-11,0,50,0,0
2015-08-13,0,50,0,0
2015-08-15,0,51,0,0
2015-08-17,0,51,0,0
2015-08-18,0,51,0,0
2015-08-19,0,51,0,0
2015-08-20,0,51,0,0
2015-08-22,0,51,0,0
2015-08-24,0,51,0,0
2015-09-01,0,51,0,0
2015-09-02,0,52,0,0
2015-09-04,0,52,0,0
2015-09-06,0,52,0,0
2015-09-08,0,52,0,0
2015-09-10,0,52,0,0
2015-09-12,0,53,0,0
2015-09-14,0,53,0,0
2015-09-15,0,53,0,0
2015-09-17,0,53,0,0
2015-09-18,0,53,0,0
2015-09-19,0,53,0,0
2015-09-20,0,54,0,0
2015-09-22,0,56,0,0
2015-09-23,0,57,0,0
2015-09-24,0,57,0,0
2015-09-26,0,57,0,0
2015-09-28,0,57,0,0
2015-09-29,0,57,0,0
2015-10-01,0,57,0,0
2015-10-03,0,57,0,0
2015-10-06,0,60,0,0
2015-10-07,0,60,0,0
2015-10-09,0,60,0,0
2015-10-10,0,61,0,0
2015-10-11,0,61,0,0
2015-10-20,0,61,0,0
2015-10-21,0,61,0,0
2015-10-23,0,62,0,0
2015-10-24,0,62,0,0
2015-10-25,0,62,0,0
2015-10-26,0,63,0,0
2015-10-27,0,64,0,0
2015-11-04,0,64,0,0
2015-11-05,0,65,0,0
2015-11-07,0,65,0,0
2015-11-08,0,65,0,0
2015-11-10,0,66,0,0
2015-11-11,0,66,0,0
2015-11-12,0,66,0,0
2015-11-13,0,66,0,0
2015-11-14,0,72,0,0
2015-11-15,0,77,0,0
2015-11-16,0,80,0,0
2015-11-17,0,80,0,0
2015-11-18,0,80,0,0
2015-11-19,0,80,0,0
2015-11-20,0,81,0,0
2015-11-21,0,81,0,0
2015-11-22,0,81,0,0
2015-11-24,0,81,0,0
2015-11-25,0,82,0,0
2015-12-03,0,84,0,0
2015-12-04,0,84,0,0
2015-12-05,0,85,0,0
2015-12-06,0,86,0,0
2015-12-07,0,87,0,0
2015-12-08,0,88,0,0
2015-12-10,0,90,0,0
2015-12-11,0,92,0,0
2015-12-13,0,92,0,0
2015-12-14,0,92,0,0
2015-12-15,0,92,0,0
2015-12-16,0,92,0,0
2015-12-17,0,92,0,0
2015-12-18,0,94,0,0
2015-12-19,0,94,0,0
2015-12-23,0,94,0,0
2015-12-24,0,94,0,0
2015-12-28,0,94,0,0
2016-01-01,0,95,0,0
2016-01-04,0,95,0,0
2016-01-05,0,95,0,0
2016-01-06,0,95,0,0
2016-01-07,0,96,0,0
2016-01-09,0,96,0,0
2016-01-10,0,97,0,0
2016-01-11,0,97,0,0
2016-01-13,0,97,0,0
2016-01-14,0,98,0,0
2016-01-15,0,98,0,0
2016-01-17,0,101,0,0
2016-01-18,0,103,0,0
2016-01-20,0,108,0,0
2016-01-21,0,111,0,0
2016-01-22,0,112,0,0
2016-01-23,0,113,0,0
2016-01-25,0,113,0,0
2016-01-27,0,113,0,0
2016-01-28,0,116,0,0
2016-01-29,0,116,0,0
2016-01-30,0,117,0,0
2016-01-31,0,118,0,0
2016-02-01,0,118,0,0
2016-02-02,0,119,0,0
2016-02-03,0,120,0,0
2016-02-05,0,123,0,0
2016-02-06,0,123,0,0
2016-02-07,0,124,0,0
2016-02-08,0,126,0,0
2016-02-09,0,127,0,0
2016-02-10,0,128,0,0
2016-02-13,0,129,0,0
2016-02-15,0,130,0,0
2016-02-16,0,131,0,0
2016-02-17,0,131,0,0
2016-02-18,0,132,0,0
2016-02-19,0,133,0,0
2016-02-20,0,133,0,0
2016-02-21,0,134,0,0
2016-02-23,0,138,0,0
2016-02-24,0,139,0,0
2016-02-25,0,139,0,0
2016-02-26,0,139,0,0
2016-02-27,0,140,0,0
2016-02-28,0,141,0,0
2016-02-29,0,141,0,0
2016-03-02,0,141,0,0
2016-03-03,0,142,0,0
2016-03-04,0,144,0,0
2016-03-06,0,145,0,0
2016-03-07,0,145,0,0
2016-03-09,0,145,0,0
2016-03-10,0,147,0,0
2016-03-11,0,148,0,0
2016-03-12,0,148,0,0
2016-03-13,0,149,0,0
2016-03-14,0,151,0,0
2016-03-15,0,151,0,0
2016-03-16,0,152,0,0
2016-03-17,0,153,0,0
2016-03-18,0,153,0,0
2016-03-19,0,153,0,0
2016-03-21,0,154,0,0
2016-03-22,0,154,0,0
2016-03-23,0,154,0,0
2016-03-24,0,154,0,0
2016-03-25,0,155,0,0
2016-03-26,0,157,0,0
2016-03-27,0,157,0,0
2016-03-28,0,159,0,0
2016-03-29,0,159,0,0
2016-03-31,0,159,0,0
2016-04-01,0,159,0,0
2016-04-02,0,159,0,0
2016-04-03,0,159,0,0
2016-04-04,0,159,0,0
2016-04-05,0,160,0,0
2016-04-06,0,161,0,0
2016-04-07,0,164,0,0
2016-04-08,0,164,0,0
2016-04-09,0,165,0,0
2016-04-10,0,168,0,0
2016-04-11,0,170,0,0
2016-04-12,0,173,0,0
2016-04-13,0,174,0,0
2016-04-14,0,174,0,0
2016-04-15,0,174,0,0
2016-04-16,0,174,0,0
2016-04-17,0,175,0,0
2016-04-18,0,176,0,0
2016-04-19,0,176,0,0
2016-04-20,0,177,0,0
2016-04-21,0,177,0,0
2016-04-23,0,178,0,0
2016-04-24,0,179,0,0
2016-04-25,0,180,0,0
2016-04-26,0,181,0,0
2016-04-27,0,182,0,0
2016-04-28,0,182,0,0
2016-04-29,0,183,0,0
2016-04-30,0,185,0,0
2016-05-02,0,187,0,0
2016-05-03,0,190,0,0
2016-05-04,0,190,0,0
2016-05-06,0,191,0,0
2016-05-07,0,194,0,0
2016-05-08,0,194,0,0
2016-05-09,0,194,0,0
2016-05-10,0,194,0,0
2016-05-11,0,196,0,0
2016-05-14,0,196,0,0
2016-05-15,0,196,0,0
2016-05-16,0,199,0,0
2016-05-17,0,201,0,0
2016-05-18,0,207,0,0
2016-05-19,0,208,0,0
2016-05-20,0,209,0,0
2016-05-22,0,211,0,0
2016-05-23,0,214,0,0
2016-05-24,0,215,0,0
2016-05-25,0,218,0,0
2016-05-26,0,219,0,0
2016-05-27,0,220,0,0
2016-05-28,0,221,0,0
2016-05-29,0,222,0,0
2016-05-30,0,222,0,0
2016-05-31,0,227,0,0
2016-06-01,0,228,0,0
2016-06-02,0,232,0,0
2016-06-03,0,233,0,0
2016-06-04,0,233,0,0
2016-06-05,0,233,0,0
2016-06-06,0,234,0,0
2016-06-08,0,235,0,0
2016-06-09,0,236,0,0
2016-06-10,0,238,0,0
2016-06-11,0,250,0,0
2016-06-12,0,269,0,0
2016-06-13,0,278,0,0
2016-06-14,0,284,0,0
2016-06-15,0,287,0,0
2016-06-16,0,288,0,0
2016-06-17,0,289,0,0
2016-06-20,0,290,0,0
2016-06-21,0,300,0,0
2016-06-22,0,315,0,0
2016-06-23,0,322,0,0
2016-06-24,0,329,0,0
2016-06-25,0,329,0,0
2016-06-26,0,330,0,0
2016-06-27,0,334,0,0
2016-06-28,0,338,0,0
2016-06-29,0,340,0,0
2016-06-30,0,341,0,0
2016-07-01,0,345,0,0
2016-07-02,0,347,0,0
2016-07-03,0,348,0,0
2016-07-04,0,349,0,0
2016-07-05,0,351,0,0
