date,rank_change,install_change,star_change
2025-01-26,0,0,4
2025-01-27,0,0,3
2025-01-28,0,0,3
2025-01-29,0,0,1
2025-01-31,0,0,1
2025-02-01,0,0,1
2025-02-02,0,0,1
2025-02-15,0,0,1
2025-02-16,0,0,87
2025-02-17,0,0,59
2025-02-18,0,0,14
2025-02-19,0,0,5
2025-02-20,0,0,3
2025-02-21,0,0,1
2025-02-22,0,0,20
2025-02-23,-2134,167,28
2025-02-24,72,12,5
2025-02-25,-7,1,7
2025-02-26,11,1,2
2025-02-27,1,1,2
2025-02-28,1,1,1
2025-03-01,13,1,4
2025-03-02,-5,0,2
2025-03-03,1,0,2
2025-03-04,6,2,1
2025-03-05,13,1,3
2025-03-06,5,1,3
2025-03-07,30,0,1
2025-03-08,0,0,1
2025-03-09,4,0,3
2025-03-10,-16,0,2
2025-03-11,8,0,0
2025-03-12,-11,0,0
2025-03-13,10,0,1
2025-03-14,-1,0,2
2025-03-15,29,5,1
2025-03-16,2,0,2
2025-03-17,-7,0,3
2025-03-18,22,2,0
2025-03-19,-195,-31,0
2025-03-20,-12,-2,0
2025-03-21,-155,-20,0
2025-03-22,8,-1,0
2025-03-23,-48,-6,0
2025-03-24,-199,-19,3
2025-03-25,-227,-16,0
2025-03-26,-332,-20,0
2025-03-27,5,0,0
2025-03-28,70,4,1
2025-03-29,489,32,2
2025-03-30,136,12,0
