date,repo_name,release_downloads
2026-05-06,fnox,221072
2026-05-06,endevco/aube,11688
2026-05-06,usage,630831
2026-05-06,endevco/pitchfork,40628
2026-05-06,mise-action,0
2026-05-06,demand,0
2026-05-06,communique,19106
2026-05-06,ruby,80670
2026-05-06,expr.rs,0
2026-05-06,hk,1158220
2026-05-06,mise,23947512
2026-05-07,mise,24033278
2026-05-07,fnox,222825
2026-05-07,endevco/aube,12508
2026-05-07,hk,1169610
2026-05-07,usage,633043
2026-05-07,endevco/pitchfork,40963
2026-05-07,mise-action,0
2026-05-07,demand,0
2026-05-07,communique,19268
2026-05-07,ruby,84207
2026-05-07,expr.rs,0
2026-05-08,mise,24160007
2026-05-08,fnox,225243
2026-05-08,endevco/aube,14135
2026-05-08,hk,1184133
2026-05-08,usage,636075
2026-05-08,endevco/pitchfork,41468
2026-05-08,mise-action,0
2026-05-08,demand,0
2026-05-08,communique,19484
2026-05-08,ruby,92272
2026-05-08,expr.rs,0
2026-05-09,mise,24250510
2026-05-09,fnox,227531
2026-05-09,endevco/aube,15370
2026-05-09,hk,1196183
2026-05-09,usage,638985
2026-05-09,endevco/pitchfork,41991
2026-05-09,mise-action,0
2026-05-09,demand,0
2026-05-09,communique,19721
2026-05-09,ruby,99884
2026-05-09,expr.rs,0
2026-05-10,mise,24285001
2026-05-10,fnox,228714
2026-05-10,endevco/aube,16105
2026-05-10,hk,1202225
2026-05-10,usage,640733
2026-05-10,endevco/pitchfork,42303
2026-05-10,mise-action,0
2026-05-10,demand,0
2026-05-10,communique,19906
2026-05-10,ruby,107684
2026-05-10,expr.rs,0
2026-05-11,mise,24400161
2026-05-11,fnox,231861
2026-05-11,endevco/aube,18102
2026-05-11,hk,1218958
2026-05-11,usage,644602
2026-05-11,endevco/pitchfork,42898
2026-05-11,mise-action,0
2026-05-11,demand,0
2026-05-11,communique,20298
2026-05-11,ruby,122903
2026-05-11,expr.rs,0
2026-05-12,mise,24455270
2026-05-12,fnox,232960
2026-05-12,endevco/aube,18649
2026-05-12,hk,1228481
2026-05-12,usage,646246
2026-05-12,endevco/pitchfork,42999
2026-05-12,mise-action,0
2026-05-12,demand,0
2026-05-12,communique,20383
2026-05-12,ruby,128902
2026-05-12,expr.rs,0
2026-05-13,mise,24569720
2026-05-13,fnox,236399
2026-05-13,endevco/aube,20391
2026-05-13,hk,1247462
2026-05-13,usage,650224
2026-05-13,endevco/pitchfork,43848
2026-05-13,mise-action,0
2026-05-13,demand,0
2026-05-13,communique,21352
2026-05-13,ruby,142693
2026-05-13,expr.rs,0
2026-05-14,mise,24687502
2026-05-14,fnox,239193
2026-05-14,endevco/aube,21840
2026-05-14,hk,1265133
2026-05-14,usage,654680
2026-05-14,endevco/pitchfork,45241
2026-05-14,mise-action,0
2026-05-14,demand,0
2026-05-14,communique,22642
2026-05-14,ruby,158189
2026-05-14,expr.rs,0
