date,repo_name,github_stars,brew_rank,brew_installs,brew_pct
2023-01-27,mise,35,,,
2023-01-27,hk,0,,,
2023-01-27,usage,0,,,
2023-01-27,mise-action,0,,,
2023-01-27,demand,0,,,
2023-01-27,fnox,0,,,
2023-01-27,pitchfork,0,,,
2023-01-27,expr.rs,0,,,
2023-01-27,xx,0,,,
2023-01-27,mise-analytics,0,,,
2023-01-28,mise,41,,,
2023-01-28,hk,0,,,
2023-01-28,usage,0,,,
2023-01-28,mise-action,0,,,
2023-01-28,demand,0,,,
2023-01-28,fnox,0,,,
2023-01-28,pitchfork,0,,,
2023-01-28,expr.rs,0,,,
2023-01-28,xx,0,,,
2023-01-28,mise-analytics,0,,,
2023-01-29,mise,47,,,
2023-01-29,hk,0,,,
2023-01-29,usage,0,,,
2023-01-29,mise-action,0,,,
2023-01-29,demand,0,,,
2023-01-29,fnox,0,,,
2023-01-29,pitchfork,0,,,
2023-01-29,expr.rs,0,,,
2023-01-29,xx,0,,,
2023-01-29,mise-analytics,0,,,
2023-01-30,mise,130,,,
2023-01-30,hk,0,,,
2023-01-30,usage,0,,,
2023-01-30,mise-action,0,,,
2023-01-30,demand,0,,,
2023-01-30,fnox,0,,,
2023-01-30,pitchfork,0,,,
2023-01-30,expr.rs,0,,,
2023-01-30,xx,0,,,
2023-01-30,mise-analytics,0,,,
2023-01-31,mise,186,,,
2023-01-31,hk,0,,,
2023-01-31,usage,0,,,
2023-01-31,mise-action,0,,,
2023-01-31,demand,0,,,
2023-01-31,fnox,0,,,
2023-01-31,pitchfork,0,,,
2023-01-31,expr.rs,0,,,
2023-01-31,xx,0,,,
2023-01-31,mise-analytics,0,,,
2023-02-01,mise,208,,,
2023-02-01,hk,0,,,
2023-02-01,usage,0,,,
2023-02-01,mise-action,0,,,
2023-02-01,demand,0,,,
2023-02-01,fnox,0,,,
2023-02-01,pitchfork,0,,,
2023-02-01,expr.rs,0,,,
2023-02-01,xx,0,,,
2023-02-01,mise-analytics,0,,,
2023-02-02,mise,221,,,
2023-02-02,hk,0,,,
2023-02-02,usage,0,,,
2023-02-02,mise-action,0,,,
2023-02-02,demand,0,,,
2023-02-02,fnox,0,,,
2023-02-02,pitchfork,0,,,
2023-02-02,expr.rs,0,,,
2023-02-02,xx,0,,,
2023-02-02,mise-analytics,0,,,
2023-02-03,mise,345,,,
2023-02-03,hk,0,,,
2023-02-03,usage,0,,,
2023-02-03,mise-action,0,,,
2023-02-03,demand,0,,,
2023-02-03,fnox,0,,,
2023-02-03,pitchfork,0,,,
2023-02-03,expr.rs,0,,,
2023-02-03,xx,0,,,
2023-02-03,mise-analytics,0,,,
2023-02-04,mise,392,,,
2023-02-04,hk,0,,,
2023-02-04,usage,0,,,
2023-02-04,mise-action,0,,,
2023-02-04,demand,0,,,
2023-02-04,fnox,0,,,
2023-02-04,pitchfork,0,,,
2023-02-04,expr.rs,0,,,
2023-02-04,xx,0,,,
2023-02-04,mise-analytics,0,,,
2023-02-05,mise,442,,,
2023-02-05,hk,0,,,
2023-02-05,usage,0,,,
2023-02-05,mise-action,0,,,
2023-02-05,demand,0,,,
2023-02-05,fnox,0,,,
2023-02-05,pitchfork,0,,,
2023-02-05,expr.rs,0,,,
2023-02-05,xx,0,,,
2023-02-05,mise-analytics,0,,,
2023-02-06,mise,469,,,
2023-02-06,hk,0,,,
2023-02-06,usage,0,,,
2023-02-06,mise-action,0,,,
2023-02-06,demand,0,,,
2023-02-06,fnox,0,,,
2023-02-06,pitchfork,0,,,
2023-02-06,expr.rs,0,,,
2023-02-06,xx,0,,,
2023-02-06,mise-analytics,0,,,
2023-02-07,mise,482,,,
2023-02-07,hk,0,,,
2023-02-07,usage,0,,,
2023-02-07,mise-action,0,,,
2023-02-07,demand,0,,,
2023-02-07,fnox,0,,,
2023-02-07,pitchfork,0,,,
2023-02-07,expr.rs,0,,,
2023-02-07,xx,0,,,
2023-02-07,mise-analytics,0,,,
2023-02-08,mise,497,,,
2023-02-08,hk,0,,,
2023-02-08,usage,0,,,
2023-02-08,mise-action,0,,,
2023-02-08,demand,0,,,
2023-02-08,fnox,0,,,
2023-02-08,pitchfork,0,,,
2023-02-08,expr.rs,0,,,
2023-02-08,xx,0,,,
2023-02-08,mise-analytics,0,,,
2023-02-09,mise,500,,,
2023-02-09,hk,0,,,
2023-02-09,usage,0,,,
2023-02-09,mise-action,0,,,
2023-02-09,demand,0,,,
2023-02-09,fnox,0,,,
2023-02-09,pitchfork,0,,,
2023-02-09,expr.rs,0,,,
2023-02-09,xx,0,,,
2023-02-09,mise-analytics,0,,,
2023-02-10,mise,504,,,
2023-02-10,hk,0,,,
2023-02-10,usage,0,,,
2023-02-10,mise-action,0,,,
2023-02-10,demand,0,,,
